Date,Open,High,Low,Close,Adj Close,Volume
2013-01-02,71.019997,71.019997,70.300003,70.839996,55.739162,12874200
2013-01-03,70.980003,71.000000,70.449997,70.739998,55.660500,9598300
2013-01-04,71.239998,71.730003,71.010002,71.550003,56.297821,11631800
2013-01-07,71.500000,71.529999,71.190002,71.400002,56.179810,7548800
2013-01-08,71.309998,71.650002,71.250000,71.410004,56.187668,9825300
2013-01-09,71.639999,71.849998,71.500000,71.730003,56.439461,7672800
2013-01-10,71.809998,72.379997,71.739998,72.190002,56.801399,11888500
2013-01-11,72.190002,72.580002,72.160004,72.349998,56.927280,7766700
2013-01-14,72.599998,72.790001,72.370003,72.559998,57.092518,7386000
2013-01-15,72.250000,72.440002,72.000000,72.370003,56.943024,7795100
2013-01-16,72.260002,72.820000,72.250000,72.580002,57.108265,8779900
2013-01-17,72.879997,73.010002,72.370003,72.900002,57.360043,10570100
2013-01-18,72.900002,73.230003,72.790001,73.230003,57.619678,13558600
2013-01-22,72.919998,73.209999,72.419998,72.690002,57.194805,11469800
2013-01-23,72.519997,72.910004,72.470001,72.849998,57.320705,10155100
2013-01-24,72.959999,73.230003,72.839996,73.099998,57.517406,9369700
2013-01-25,73.129997,73.930000,73.059998,73.919998,58.162605,10421500
2013-01-28,73.959999,74.000000,73.430000,73.620003,57.926579,9420900
2013-01-29,73.669998,74.620003,73.639999,74.410004,58.548164,12386500
2013-01-30,74.449997,74.800003,74.010002,74.089996,58.296375,9245500
2013-01-31,74.080002,74.360001,73.779999,73.919998,58.162605,10448700
2013-02-01,74.139999,74.419998,74.080002,74.180000,58.367199,10016300
2013-02-04,73.559998,74.250000,73.559998,74.110001,58.312130,9200700
2013-02-05,74.489998,74.820000,74.470001,74.660004,58.744873,10230800
2013-02-06,74.570000,75.389999,74.519997,75.389999,59.319263,12084000
2013-02-07,74.820000,75.199997,74.680000,75.059998,59.059601,9798200
2013-02-08,75.169998,75.610001,74.730003,75.480003,59.390076,8153300
2013-02-11,75.279999,75.500000,75.050003,75.410004,59.334999,5697100
2013-02-12,75.419998,75.860001,75.419998,75.800003,59.641857,7598900
2013-02-13,75.790001,75.870003,75.370003,75.660004,59.531700,8014800
2013-02-14,75.500000,76.089996,75.379997,75.809998,59.649719,9681800
2013-02-15,75.720001,76.160004,75.510002,76.160004,59.925114,10528400
2013-02-19,76.029999,77.000000,75.959999,76.959999,60.554585,9747400
2013-02-20,76.790001,76.970001,76.540001,76.650002,60.310669,7857500
2013-02-21,76.470001,77.019997,76.379997,76.870003,60.483772,9465700
2013-02-22,76.389999,76.489998,75.970001,76.250000,60.475826,8571500
2013-02-25,76.470001,76.660004,75.570000,75.570000,59.936523,10603300
2013-02-26,75.879997,76.339996,75.500000,75.750000,60.079269,10742100
2013-02-27,75.680000,76.449997,75.599998,76.320000,60.531357,8180300
2013-02-28,76.230003,76.489998,76.110001,76.110001,60.364796,11806300
2013-03-01,75.790001,76.769997,75.730003,76.699997,60.832745,9528300
2013-03-04,76.730003,77.279999,76.730003,77.199997,61.229305,12628000
2013-03-05,77.559998,77.709999,77.440002,77.660004,61.594143,9399400
2013-03-06,77.690002,77.739998,77.220001,77.389999,61.379993,8535200
2013-03-07,77.620003,77.959999,77.589996,77.750000,61.665550,7996500
2013-03-08,77.839996,78.220001,77.699997,78.190002,62.014496,8554100
2013-03-11,77.919998,78.519997,77.839996,78.440002,62.212788,8807600
2013-03-12,78.500000,78.690002,78.209999,78.559998,62.307957,8790500
2013-03-13,78.519997,78.669998,78.199997,78.550003,62.300034,7983400
