Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,67.680000,67.680000,65.620003,66.489998,66.489998,656200
2016-01-05,66.540001,66.650002,64.620003,64.820000,64.820000,611300
2016-01-06,63.570000,64.320000,61.549999,62.230000,62.230000,881900
2016-01-07,60.669998,61.549999,58.110001,59.410000,59.410000,1210600
2016-01-08,59.799999,59.980000,58.970001,59.250000,59.250000,1034700
2016-01-11,59.500000,60.320000,57.700001,58.860001,58.860001,1034700
2016-01-12,59.570000,60.279999,58.360001,59.849998,59.849998,561300
2016-01-13,59.970001,60.759998,56.330002,56.509998,56.509998,614400
2016-01-14,56.810001,59.049999,55.939999,57.830002,57.830002,780500
2016-01-15,56.009998,56.900002,54.889999,56.549999,56.549999,1876300
2016-01-19,57.119999,58.680000,55.570000,56.669998,56.669998,1211300
2016-01-20,55.580002,59.830002,55.500000,57.250000,57.250000,1720000
2016-01-21,57.250000,57.730000,55.500000,55.560001,55.560001,784600
2016-01-22,56.610001,57.639999,55.560001,56.500000,56.500000,536000
2016-01-25,55.889999,56.950001,55.150002,55.380001,55.380001,952800
2016-01-26,55.500000,58.590000,55.299999,58.520000,58.520000,930700
2016-01-27,58.000000,59.330002,57.119999,57.270000,57.270000,937700
2016-01-28,58.200001,58.240002,55.330002,55.700001,55.700001,452700
2016-01-29,56.110001,60.470001,56.110001,60.400002,60.400002,678300
2016-02-01,59.459999,60.459999,58.669998,60.020000,60.020000,725700
2016-02-02,58.900002,59.540001,57.689999,57.930000,57.930000,875300
2016-02-03,58.200001,59.740002,56.500000,59.689999,59.689999,721700
2016-02-04,59.400002,62.380001,58.970001,61.009998,61.009998,864500
2016-02-05,60.810001,60.889999,57.080002,57.380001,57.380001,877100
2016-02-08,56.360001,56.619999,53.750000,54.439999,54.439999,728400
2016-02-09,53.439999,54.990002,52.139999,54.680000,54.680000,662600
2016-02-10,55.250000,58.750000,54.830002,57.799999,57.799999,890200
2016-02-11,56.349998,58.520000,56.029999,57.639999,57.639999,881100
2016-02-12,58.880001,59.910000,57.680000,59.310001,59.310001,576300
2016-02-16,60.150002,64.599998,59.590000,64.389999,64.389999,852200
2016-02-17,65.279999,67.220001,64.139999,67.050003,67.050003,956100
2016-02-18,67.120003,67.760002,66.010002,66.760002,66.760002,653200
2016-02-19,66.269997,67.379997,64.220001,67.269997,67.269997,511700
2016-02-22,68.099998,69.519997,67.099998,68.309998,68.309998,582300
2016-02-23,68.070000,69.330002,67.419998,68.860001,68.860001,604000
2016-02-24,68.099998,70.169998,66.980003,70.040001,70.040001,887000
2016-02-25,69.370003,70.300003,58.619999,59.779999,59.779999,2665500
2016-02-26,59.660000,60.189999,58.230000,59.529999,59.529999,1158800
2016-02-29,59.570000,61.970001,59.180000,61.779999,61.779999,853400
2016-03-01,62.259998,63.049999,61.290001,62.889999,62.889999,737500
2016-03-02,63.060001,65.570000,62.349998,65.480003,65.480003,546800
2016-03-03,65.470001,66.809998,65.269997,66.510002,66.510002,625400
2016-03-04,66.529999,67.190002,64.699997,65.410004,65.410004,613800
2016-03-07,65.080002,67.449997,64.519997,67.440002,67.440002,559100
2016-03-08,66.839996,67.709999,63.410000,63.529999,63.529999,709700
2016-03-09,63.779999,65.239998,62.770000,65.089996,65.089996,419200
2016-03-10,65.580002,65.860001,62.730000,64.190002,64.190002,492100
2016-03-11,64.959999,67.110001,64.400002,67.010002,67.010002,360300
2016-03-14,66.800003,67.160004,65.400002,65.830002,65.830002,456600
2016-03-15,65.169998,65.739998,62.799999,63.419998,63.419998,609200
2016-03-16,63.130001,65.690002,62.660000,65.580002,65.580002,580600
2016-03-17,65.570000,66.580002,64.550003,66.040001,66.040001,724600
2016-03-18,65.529999,67.919998,65.230003,67.790001,67.790001,691100
2016-03-21,67.489998,68.529999,67.239998,68.519997,68.519997,322300
2016-03-22,68.010002,69.699997,68.010002,69.150002,69.150002,416300
2016-03-23,68.570000,69.139999,67.879997,67.900002,67.900002,605300
2016-03-24,68.480003,68.500000,67.330002,68.190002,68.190002,425500
2016-03-28,68.349998,68.860001,66.879997,67.510002,67.510002,371200
2016-03-29,66.570000,68.849998,66.279999,68.589996,68.589996,517100
2016-03-30,69.089996,69.500000,67.580002,67.949997,67.949997,491000
2016-03-31,67.870003,69.269997,67.839996,69.000000,69.000000,556800
2016-04-01,68.010002,68.300003,66.510002,68.150002,68.150002,454800
2016-04-04,68.169998,68.400002,66.120003,66.709999,66.709999,446900
2016-04-05,65.839996,66.010002,65.019997,65.720001,65.720001,338600
2016-04-06,65.839996,66.839996,64.440002,66.790001,66.790001,214000
2016-04-07,66.139999,66.860001,65.220001,65.980003,65.980003,389300
2016-04-08,66.690002,67.410004,65.379997,66.029999,66.029999,228800
2016-04-11,66.430000,67.650002,65.839996,65.949997,65.949997,205600
2016-04-12,66.000000,66.430000,64.470001,65.910004,65.910004,217000
2016-04-13,66.370003,68.489998,65.800003,68.059998,68.059998,673800
2016-04-14,67.790001,68.029999,64.379997,65.059998,65.059998,898100
2016-04-15,64.660004,65.019997,63.869999,64.370003,64.370003,442200
2016-04-18,64.099998,64.680000,63.549999,64.010002,64.010002,728900
2016-04-19,64.379997,65.500000,63.599998,64.349998,64.349998,1148200
